user_id,status_id,created_at,screen_name,text,source,display_text_width,country
1028166736015708160,1406695961242607617,2021-06-20T19:30:26Z,Obed_Kvng,"In celebration of today, let’s check out these parenting scenarios. What would you do?

(THREAD)",Twitter for iPhone,114,NA
305967359,1406695934298312713,2021-06-20T19:30:20Z,lovely_bts7,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
717108730760970241,1406695925922291712,2021-06-20T19:30:18Z,RogueRifter,"Proud parenting moment. This kid raced over 5,000 meters in 4 days and came away with the high point award for the very competitive 13-14 year old age group. #PEAQatPITT #Holtrey #highpoint He won the 1500 free, 100 fly, 200 fly, and 200 back. 🏊🏼‍♂️ https://t.co/SiZMxso0Jw",Twitter for iPhone,249,NA
2771116626,1406695917345030147,2021-06-20T19:30:16Z,4evrymom,Everyone’s a Bad Friend Right Now — And That’s Ok https://t.co/0vEkspcTzA,MeetEdgar,73,NA
816791870093324288,1406695901695971328,2021-06-20T19:30:12Z,estigaribiabibi,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
284615579,1406695874370146306,2021-06-20T19:30:06Z,MKKidsInteriors,"Happy #Fathersday to all the Fab-mazing He-roes that make our lives better for having them in it💕 #Son #Brother #Husband #Uncle
#fathers #fathersday #dad #fatherhood #love #father #family #dadlife #dads #daddy #fatherandson #mothers #happyfathersday #parenting #fatherson https://t.co/k8bXZKeaUZ",Buffer,271,NA
1271509161717706760,1406695873485185024,2021-06-20T19:30:06Z,spinart7,"imperialism requires religion which requires abusive parenting under the guise of love, bc if you can internalize your parents harming you as spiritual love &amp; god's will, then you can justify the killing of innocents as such too",Twitter for Android,140,NA
2981782721,1406695867541868552,2021-06-20T19:30:04Z,IndieBookButler,A compilation of short rants from a foul-mouthed mom with some little words of wisdom! https://t.co/UsaiSdyPvq #nonfiction #parenting,Hootsuite Inc.,133,NA
572031173,1406695849309114369,2021-06-20T19:30:00Z,JeffcoPTA,"A very Happy Father's Day to all the wonderful dads out there!

#Jeffco #parents #parenting https://t.co/vy6sPr7unu",TweetDeck,91,NA
572031173,1406673205071388675,2021-06-20T18:00:01Z,JeffcoPTA,"Scholarly Groups Condemn Laws Limiting Teaching on Race

https://t.co/j4a8yA2yu6

#Jeffco #parents #parenting",TweetDeck,109,NA
1304103389765140480,1406695820020183042,2021-06-20T19:29:53Z,JustAnotherAmii,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
584206727,1406695804249726979,2021-06-20T19:29:49Z,james_justus,@RaichuRocks99 Well... he was at least a good guy with bad parenting skills. :P,Twitter for Android,64,NA
79589121,1406695800885944328,2021-06-20T19:29:48Z,timmmo510,@PetkovsekStacy1 Parenting has to begin.,Twitter for iPhone,23,NA
